"chart_position.x","chart_date.x","song","artist","instance.x","time_on_chart.x","consecutive_weeks.x","previous_week.x","peak_position.x","worst_position.x","year.x","month.x","week.x","chart_position.y","chart_date.y","instance.y","time_on_chart.y","consecutive_weeks.y","previous_week.y","peak_position.y","worst_position.y","year.y","month.y","week.y","spotify_song_id","spotify_artist_id","genres","main_genres"
64,1959-04-18,"Stagger Lee","Lloyd Price",1,20,19,36,1,94,1959,4,16,16,1959-03-28,1,17,16,8,1,94,1959,3,13,"7qoaMWT3eRCKG1RN6dVuOY","3iOE5ItEv5xr9fmKi7GNh2","doo-wop, louisiana blues, memphis blues, new orleans blues, rhythm and blues, rock-and-roll, rockabilly","r&b_reggae, jazz_blues, world_regional, rock"
86,1959-04-25,"Stagger Lee","Lloyd Price",1,21,20,64,1,94,1959,4,17,16,1959-03-28,1,17,16,8,1,94,1959,3,13,"7qoaMWT3eRCKG1RN6dVuOY","3iOE5ItEv5xr9fmKi7GNh2","doo-wop, louisiana blues, memphis blues, new orleans blues, rhythm and blues, rock-and-roll, rockabilly","r&b_reggae, jazz_blues, world_regional, rock"
9,1959-05-02,"Venus","Frankie Avalon",1,13,12,3,1,99,1959,5,18,9,1959-05-02,1,13,12,3,1,99,1959,5,18,"5kqXQHIgQ6UfFP9LfqPNgG","5zNOI87gG4RttFmYAZWaxQ","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly","classic_folk, pop, r&b_reggae, rock"
14,1959-05-09,"Venus","Frankie Avalon",1,14,13,9,1,99,1959,5,19,9,1959-05-02,1,13,12,3,1,99,1959,5,18,"5kqXQHIgQ6UfFP9LfqPNgG","5zNOI87gG4RttFmYAZWaxQ","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly","classic_folk, pop, r&b_reggae, rock"
26,1959-05-16,"Venus","Frankie Avalon",1,15,14,14,1,99,1959,5,20,9,1959-05-02,1,13,12,3,1,99,1959,5,18,"5kqXQHIgQ6UfFP9LfqPNgG","5zNOI87gG4RttFmYAZWaxQ","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly","classic_folk, pop, r&b_reggae, rock"
31,1959-05-23,"Venus","Frankie Avalon",1,16,15,26,1,99,1959,5,21,9,1959-05-02,1,13,12,3,1,99,1959,5,18,"5kqXQHIgQ6UfFP9LfqPNgG","5zNOI87gG4RttFmYAZWaxQ","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly","classic_folk, pop, r&b_reggae, rock"
89,1959-05-30,"Venus","Frankie Avalon",1,17,16,31,1,99,1959,5,22,9,1959-05-02,1,13,12,3,1,99,1959,5,18,"5kqXQHIgQ6UfFP9LfqPNgG","5zNOI87gG4RttFmYAZWaxQ","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly","classic_folk, pop, r&b_reggae, rock"
60,1959-06-06,"Come Softly To Me","The Fleetwoods",1,14,13,34,1,60,1959,6,23,60,1959-06-06,1,14,13,34,1,60,1959,6,23,"603N4XGJUTbK760GLCvIIs","673J686eeEXMYJorgQ70lX","doo-wop, vocal harmony group","r&b_reggae, classic_folk"
66,1959-06-13,"Come Softly To Me","The Fleetwoods",1,15,14,60,1,66,1959,6,24,60,1959-06-06,1,14,13,34,1,60,1959,6,23,"603N4XGJUTbK760GLCvIIs","673J686eeEXMYJorgQ70lX","doo-wop, vocal harmony group","r&b_reggae, classic_folk"
96,1959-06-20,"Come Softly To Me","The Fleetwoods",1,16,15,66,1,96,1959,6,25,60,1959-06-06,1,14,13,34,1,60,1959,6,23,"603N4XGJUTbK760GLCvIIs","673J686eeEXMYJorgQ70lX","doo-wop, vocal harmony group","r&b_reggae, classic_folk"
38,1959-06-27,"The Happy Organ","Dave ""Baby"" Cortez",1,16,15,25,1,68,1959,6,26,38,1959-06-27,1,16,15,25,1,68,1959,6,26,"6fOxrKUo3f9OX2z6YrBpwy","7fGPj0sGEcZACQTUVbz3NY","hammond organ, jazz organ","jazz_blues"
70,1959-07-04,"The Happy Organ","Dave ""Baby"" Cortez",1,17,16,38,1,70,1959,7,27,38,1959-06-27,1,16,15,25,1,68,1959,6,26,"6fOxrKUo3f9OX2z6YrBpwy","7fGPj0sGEcZACQTUVbz3NY","hammond organ, jazz organ","jazz_blues"
29,1959-07-11,"Kansas City","Wilbert Harrison",1,14,13,17,1,100,1959,7,28,29,1959-07-11,1,14,13,17,1,100,1959,7,28,"4GvyP7CnBJEV2t7L7vOkjw","7rETVFaF9VOFPmmzsY3kO6","rhythm and blues","jazz_blues"
44,1959-07-18,"Kansas City","Wilbert Harrison",1,15,14,29,1,100,1959,7,29,29,1959-07-11,1,14,13,17,1,100,1959,7,28,"4GvyP7CnBJEV2t7L7vOkjw","7rETVFaF9VOFPmmzsY3kO6","rhythm and blues","jazz_blues"
84,1959-07-25,"Kansas City","Wilbert Harrison",1,16,15,44,1,100,1959,7,30,29,1959-07-11,1,14,13,17,1,100,1959,7,28,"4GvyP7CnBJEV2t7L7vOkjw","7rETVFaF9VOFPmmzsY3kO6","rhythm and blues","jazz_blues"
4,1959-08-01,"The Battle Of New Orleans","Johnny Horton",1,15,14,2,1,93,1959,8,31,4,1959-08-01,1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western","pop, country"
7,1959-08-08,"The Battle Of New Orleans","Johnny Horton",1,16,15,4,1,93,1959,8,32,4,1959-08-01,1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western","pop, country"
13,1959-08-15,"The Battle Of New Orleans","Johnny Horton",1,17,16,7,1,93,1959,8,33,4,1959-08-01,1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western","pop, country"
25,1959-08-22,"The Battle Of New Orleans","Johnny Horton",1,18,17,13,1,93,1959,8,34,4,1959-08-01,1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western","pop, country"
34,1959-08-29,"The Battle Of New Orleans","Johnny Horton",1,19,18,25,1,93,1959,8,35,4,1959-08-01,1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western","pop, country"
42,1959-09-05,"The Battle Of New Orleans","Johnny Horton",1,20,19,34,1,93,1959,9,36,4,1959-08-01,1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western","pop, country"
91,1959-09-12,"The Battle Of New Orleans","Johnny Horton",1,21,20,42,1,93,1959,9,37,4,1959-08-01,1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western","pop, country"
42,1959-09-19,"A Big Hunk O' Love","Elvis Presley With The Jordanaires",1,12,11,20,1,43,1959,9,38,42,1959-09-19,1,12,11,20,1,43,1959,9,38,"6PUsG2iMvCjnPFLjydO1RR","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll, rockabilly","rock"
63,1959-09-26,"A Big Hunk O' Love","Elvis Presley With The Jordanaires",1,13,12,42,1,63,1959,9,39,42,1959-09-19,1,12,11,20,1,43,1959,9,38,"6PUsG2iMvCjnPFLjydO1RR","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll, rockabilly","rock"
96,1959-10-03,"A Big Hunk O' Love","Elvis Presley With The Jordanaires",1,14,13,63,1,96,1959,10,40,42,1959-09-19,1,12,11,20,1,43,1959,9,38,"6PUsG2iMvCjnPFLjydO1RR","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll, rockabilly","rock"
